Date,Price
1987-05-20,18.50
1987-06-01,18.75
1987-07-01,19.00
1988-01-01,16.50
1988-06-01,15.25
1989-01-01,18.00
1989-06-01,19.50
1990-01-01,22.00
1990-08-01,28.00
1991-01-01,20.50
1991-06-01,19.75
1992-01-01,19.00
1992-06-01,20.25
1993-01-01,18.50
1993-06-01,17.75
1994-01-01,15.50
1994-06-01,16.25
1995-01-01,17.00
1995-06-01,18.50
1996-01-01,19.25
1996-06-01,20.00
1997-01-01,22.50
1997-06-01,19.75
1998-01-01,16.50
1998-06-01,12.75
1999-01-01,11.50
1999-06-01,17.25
2000-01-01,25.50
2000-06-01,28.75
2001-01-01,26.00
2001-06-01,25.25
2001-09-11,27.50
2002-01-01,20.50
2002-06-01,25.75
2003-01-01,30.25
2003-03-20,32.50
2004-01-01,33.00
2004-06-01,38.50
2005-01-01,45.25
2005-06-01,55.75
2006-01-01,62.50
2006-06-01,70.25
2007-01-01,55.00
2007-06-01,70.50
2008-01-01,95.25
2008-07-01,140.00
2008-12-01,45.50
2009-01-01,40.25
2009-06-01,65.75
2010-01-01,78.50
2010-06-01,75.25
2011-01-01,95.00
2011-06-01,110.50
2012-01-01,110.25
2012-06-01,90.75
2013-01-01,110.50
2013-06-01,105.25
2014-01-01,110.75
2014-06-01,115.50
2014-11-01,70.25
2015-01-01,50.75
2015-06-01,65.25
2016-01-01,30.50
2016-06-01,50.75
2016-11-01,45.25
2017-01-01,55.50
2017-06-01,45.75
2018-01-01,65.25
2018-05-01,75.50
2018-06-01,80.25
2019-01-01,60.50
2019-06-01,65.75
2019-09-01,70.25
2020-01-01,65.50
2020-03-01,25.75
2020-04-01,20.50
2020-06-01,40.25
2020-12-01,50.75
2021-01-01,55.50
2021-06-01,75.25
2021-12-01,80.50
2022-01-01,85.75
2022-02-01,95.50
2022-06-01,120.25
2022-09-01,90.75 
